PRACTICE_WORD_COUNT: 1
TIME_EXPERIMENT_START: 1598580476020461
TIME_WORD_START: 1598580476496900; WORD_VALUE: limped
TIME_SPECIAL: 1598583156409998; POINT_POSITION: (567.711, 284.131, 11.2535); TOOL_DIRECTION: (0.0383629, 0.223252, -0.974006)
TIME_SPECIAL: 1598583173028765; POINT_POSITION: (540.629, 287.804, 13.7063); TOOL_DIRECTION: (0.0262646, 0.233695, -0.971955)
TIME_SPECIAL: 1598583189796863; POINT_POSITION: (513.612, 290.94, 13.4639); TOOL_DIRECTION: (0.0136226, 0.242164, -0.97014)
TIME_SPECIAL: 1598583206357888; POINT_POSITION: (486.971, 294.128, 10.1081); TOOL_DIRECTION: (0.000844422, 0.246849, -0.969054)
TIME_SPECIAL: 1598583223101240; POINT_POSITION: (459.807, 297.184, 3.9886); TOOL_DIRECTION: (-0.0118873, 0.24939, -0.96833)
TIME_SPECIAL: 1598583239733091; POINT_POSITION: (430.214, 300.035, 0); TOOL_DIRECTION: (-0.0295595, 0.248411, -0.968204)
TIME_SPECIAL: 1598583256407040; POINT_POSITION: (397.705, 301.334, 0); TOOL_DIRECTION: (-0.047755, 0.247145, -0.967801)
TIME_SPECIAL: 1598583273102890; POINT_POSITION: (365.407, 300.398, 0); TOOL_DIRECTION: (-0.0680651, 0.24612, -0.966847)
TIME_SPECIAL: 1598583289801585; POINT_POSITION: (354.225, 298.117, 0); TOOL_DIRECTION: (-0.0733152, 0.248391, -0.965881)
TIME_SPECIAL: 1598583306467853; POINT_POSITION: (332.513, 294.495, 0); TOOL_DIRECTION: (-0.0795336, 0.249999, -0.964974)
TIME_SPECIAL: 1598583323122460; POINT_POSITION: (315.573, 292.547, 6.55761); TOOL_DIRECTION: (-0.0807681, 0.252077, -0.964331)
TIME_SPECIAL: 1598583339819732; POINT_POSITION: (294.573, 289.288, 24.417); TOOL_DIRECTION: (-0.0892021, 0.254515, -0.962946)
TIME_SPECIAL: 1598583356458694; POINT_POSITION: (273.35, 286.02, 34.3953); TOOL_DIRECTION: (-0.0958188, 0.251315, -0.963151)
TIME_SPECIAL: 1598583373124109; POINT_POSITION: (255.228, 285.492, 39.8249); TOOL_DIRECTION: (-0.102423, 0.253887, -0.961796)
TIME_SPECIAL: 1598583389742876; POINT_POSITION: (243.214, 285.306, 43.0314); TOOL_DIRECTION: (-0.0981673, 0.254157, -0.962168)
TIME_PRESSED: 1598583389775871; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_E; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1598583406475988; POINT_POSITION: (231.765, 285.879, 47.5101); TOOL_DIRECTION: (-0.0966033, 0.257266, -0.9615)
TIME_SPECIAL: 1598583423149652; POINT_POSITION: (219.094, 285.054, 49.4723); TOOL_DIRECTION: (-0.101737, 0.257561, -0.960891)
TIME_SPECIAL: 1598583439766143; POINT_POSITION: (205.373, 282.808, 45.1435); TOOL_DIRECTION: (-0.108906, 0.251209, -0.961787)
TIME_SPECIAL: 1598583456479060; POINT_POSITION: (192.91, 281.779, 43.2608); TOOL_DIRECTION: (-0.118926, 0.249061, -0.961158)
TIME_SPECIAL: 1598583473171497; POINT_POSITION: (186.872, 282.305, 43.8023); TOOL_DIRECTION: (-0.117069, 0.250095, -0.961118)
TIME_SPECIAL: 1598583489859099; POINT_POSITION: (183.077, 283.152, 43.1868); TOOL_DIRECTION: (-0.116201, 0.252411, -0.960618)
TIME_SPECIAL: 1598583506552105; POINT_POSITION: (182.537, 283.296, 43.9569); TOOL_DIRECTION: (-0.113947, 0.254246, -0.960404)
TIME_SPECIAL: 1598583523177698; POINT_POSITION: (181.65, 282.984, 43.4126); TOOL_DIRECTION: (-0.107793, 0.254305, -0.961098)
TIME_SPECIAL: 1598583539838278; POINT_POSITION: (182.168, 282.288, 44.2489); TOOL_DIRECTION: (-0.103553, 0.254516, -0.961508)
TIME_SPECIAL: 1598583556526448; POINT_POSITION: (181.829, 282.038, 43.4017); TOOL_DIRECTION: (-0.0992903, 0.255451, -0.96171)
TIME_SPECIAL: 1598583573207223; POINT_POSITION: (179.991, 276.972, 42.1922); TOOL_DIRECTION: (-0.10676, 0.239951, -0.964897)
TIME_SPECIAL: 1598583589893971; POINT_POSITION: (181.339, 270.721, 41.7062); TOOL_DIRECTION: (-0.104676, 0.228636, -0.967868)
TIME_SPECIAL: 1598583606554551; POINT_POSITION: (171.645, 306.574, 88.2075); TOOL_DIRECTION: (-0.14862, 0.333759, -0.930869)
TIME_SPECIAL: 1598583623235895; POINT_POSITION: (184.859, 260.922, 46.9972); TOOL_DIRECTION: (-0.117635, 0.239879, -0.963649)
TIME_PRESSED: 1598583623272303; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_D; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1598583639870021; POINT_POSITION: (192.353, 237.589, 30.7854); TOOL_DIRECTION: (-0.102035, 0.199772, -0.974515)
TIME_SPECIAL: 1598583656621907; POINT_POSITION: (197.135, 219.035, 23.1165); TOOL_DIRECTION: (-0.0965416, 0.177969, -0.979289)
TIME_SPECIAL: 1598583673217065; POINT_POSITION: (201.118, 203.945, 20.8168); TOOL_DIRECTION: (-0.0909828, 0.165203, -0.982054)
TIME_SPECIAL: 1598583689891582; POINT_POSITION: (204.345, 191.186, 20.3846); TOOL_DIRECTION: (-0.0853059, 0.150279, -0.984956)
TIME_SPECIAL: 1598583706636641; POINT_POSITION: (205.549, 182.607, 19.2798); TOOL_DIRECTION: (-0.0894203, 0.13922, -0.986216)
TIME_SPECIAL: 1598583723306891; POINT_POSITION: (206.971, 179.555, 15.0368); TOOL_DIRECTION: (-0.0846493, 0.139991, -0.986528)
TIME_SPECIAL: 1598583740015826; POINT_POSITION: (208.168, 174.638, 9.70577); TOOL_DIRECTION: (-0.0832141, 0.141699, -0.986406)
TIME_SPECIAL: 1598583756689490; POINT_POSITION: (208.563, 171.925, 11.1301); TOOL_DIRECTION: (-0.0842828, 0.143202, -0.986098)
TIME_SPECIAL: 1598583773318496; POINT_POSITION: (207.78, 175.74, 15.2454); TOOL_DIRECTION: (-0.0912107, 0.15655, -0.983449)
TIME_SPECIAL: 1598583789917068; POINT_POSITION: (207.401, 182.649, 28.4376); TOOL_DIRECTION: (-0.0950808, 0.174323, -0.980087)
