PRACTICE_WORD_COUNT: 16
TIME_EXPERIMENT_START: 154488067746712
TIME_WORD_START: 154488068448715; WORD_VALUE: shirr
TIME_SPECIAL: 154490617545128; POINT_POSITION: (-29.7133, 251.089, 0); TOOL_DIRECTION: (-0.0949048, -0.107332, -0.989683)
TIME_SPECIAL: 154490634123835; POINT_POSITION: (-42.789, 254.181, 0); TOOL_DIRECTION: (-0.111208, -0.0959099, -0.989158)
TIME_SPECIAL: 154490650846471; POINT_POSITION: (-55.4285, 256.773, 0); TOOL_DIRECTION: (-0.126646, -0.0855924, -0.988248)
TIME_SPECIAL: 154490667545213; POINT_POSITION: (-84.5304, 273.057, 0); TOOL_DIRECTION: (-0.186049, 0.0609255, -0.98065)
TIME_SPECIAL: 154490684176258; POINT_POSITION: (-78.3933, 273.067, 108.015); TOOL_DIRECTION: (-0.190561, 0.0594298, -0.979875)
TIME_SPECIAL: 154490700845418; POINT_POSITION: (-58.447, 253.524, 120.499); TOOL_DIRECTION: (-0.175184, -0.0274327, -0.984153)
TIME_SPECIAL: 154490717543023; POINT_POSITION: (-69.9441, 252.234, 157.109); TOOL_DIRECTION: (-0.182535, -0.0573733, -0.981524)
TIME_SPECIAL: 154490734193694; POINT_POSITION: (-81.6404, 255.766, 185.208); TOOL_DIRECTION: (-0.191732, -0.0637693, -0.979374)
TIME_SPECIAL: 154490750822748; POINT_POSITION: (-87.6766, 258.325, 200.868); TOOL_DIRECTION: (-0.197938, -0.0639688, -0.978125)
TIME_SPECIAL: 154490767508406; POINT_POSITION: (-88.1623, 258.957, 205.155); TOOL_DIRECTION: (-0.19928, -0.063951, -0.977854)
TIME_SPECIAL: 154490784211984; POINT_POSITION: (-77.41, 258.623, 206.982); TOOL_DIRECTION: (-0.192827, -0.0719004, -0.978595)
TIME_SPECIAL: 154490801173266; POINT_POSITION: (-63.2766, 258.675, 206.394); TOOL_DIRECTION: (-0.184641, -0.0758056, -0.979878)
TIME_SPECIAL: 154490817582446; POINT_POSITION: (-53.236, 258.343, 203.61); TOOL_DIRECTION: (-0.17955, -0.0804602, -0.980453)
TIME_SPECIAL: 154490834236247; POINT_POSITION: (-45.8141, 258.4, 199.487); TOOL_DIRECTION: (-0.177086, -0.0842154, -0.980586)
TIME_SPECIAL: 154490850945229; POINT_POSITION: (-29.96, 259.685, 193.364); TOOL_DIRECTION: (-0.171675, -0.0852468, -0.981458)
TIME_SPECIAL: 154490867589358; POINT_POSITION: (-4.59891, 260.499, 180.218); TOOL_DIRECTION: (-0.162231, -0.0810572, -0.983418)
