PRACTICE_WORD_COUNT: 10
TIME_EXPERIMENT_START: 1940206592023
TIME_WORD_START: 1940208058030; WORD_VALUE: pens
TIME_SPECIAL: 1942383239851; POINT_POSITION: (562.607, 110.383, 0.57686); TOOL_DIRECTION: (-0.0692272, 0.0385705, -0.996855)
TIME_SPECIAL: 1942399938219; POINT_POSITION: (565.036, 108.594, 0.37257); TOOL_DIRECTION: (-0.070939, 0.0386611, -0.996731)
TIME_SPECIAL: 1942416580836; POINT_POSITION: (569.593, 105.301, 0.506965); TOOL_DIRECTION: (-0.0718307, 0.0394792, -0.996635)
TIME_SPECIAL: 1942433262706; POINT_POSITION: (574.493, 101.726, 1.18528); TOOL_DIRECTION: (-0.0691454, 0.038521, -0.996863)
TIME_SPECIAL: 1942449958514; POINT_POSITION: (579.751, 98.6181, 2.10114); TOOL_DIRECTION: (-0.0636071, 0.0383958, -0.997236)
TIME_SPECIAL: 1942466571265; POINT_POSITION: (583.538, 96.0947, 2.3441); TOOL_DIRECTION: (-0.0582835, 0.0374144, -0.997599)
TIME_SPECIAL: 1942483285277; POINT_POSITION: (584.957, 94.9184, 2.41635); TOOL_DIRECTION: (-0.0548375, 0.0374849, -0.997791)
TIME_SPECIAL: 1942499990755; POINT_POSITION: (585.208, 94.5208, 2.37738); TOOL_DIRECTION: (-0.0524043, 0.0374291, -0.997924)
TIME_SPECIAL: 1942516645603; POINT_POSITION: (587.324, 93.8294, 0.244452); TOOL_DIRECTION: (-0.0465838, 0.0357475, -0.998275)
TIME_SPECIAL: 1942533269163; POINT_POSITION: (587.324, 93.8294, 0.244452); TOOL_DIRECTION: (-0.0465838, 0.0357475, -0.998275)
TIME_SPECIAL: 1942550000810; POINT_POSITION: (574.864, 96.1097, 0); TOOL_DIRECTION: (-0.0478469, 0.0418919, -0.997976)
TIME_SPECIAL: 1942566678698; POINT_POSITION: (562.325, 98.8055, 0); TOOL_DIRECTION: (-0.0514946, 0.0468128, -0.997576)
TIME_SPECIAL: 1942583334684; POINT_POSITION: (547.65, 103.547, 0); TOOL_DIRECTION: (-0.0568311, 0.0523129, -0.997012)
TIME_SPECIAL: 1942600134597; POINT_POSITION: (539.626, 106.277, 0); TOOL_DIRECTION: (-0.0586372, 0.0563327, -0.996689)
TIME_SPECIAL: 1942616700415; POINT_POSITION: (520.786, 111.199, 1.39691); TOOL_DIRECTION: (-0.0648518, 0.0605181, -0.996058)
TIME_SPECIAL: 1942633366925; POINT_POSITION: (500.354, 116.8, 2.82246); TOOL_DIRECTION: (-0.0699889, 0.0641483, -0.995483)
TIME_SPECIAL: 1942650035711; POINT_POSITION: (476.472, 122.347, 4.85741); TOOL_DIRECTION: (-0.0786454, 0.0678397, -0.994592)
TIME_SPECIAL: 1942666725545; POINT_POSITION: (451.909, 127.311, 6.37379); TOOL_DIRECTION: (-0.085761, 0.0708695, -0.993792)
TIME_SPECIAL: 1942683417371; POINT_POSITION: (426.026, 132.574, 6.69279); TOOL_DIRECTION: (-0.093624, 0.0722609, -0.992982)
TIME_SPECIAL: 1942700052308; POINT_POSITION: (401.165, 138.296, 4.37801); TOOL_DIRECTION: (-0.099081, 0.0749655, -0.992252)
TIME_SPECIAL: 1942716724507; POINT_POSITION: (388.883, 142.011, 3.55128); TOOL_DIRECTION: (-0.101601, 0.0789663, -0.991686)
TIME_SPECIAL: 1942733428848; POINT_POSITION: (364.311, 148.953, 2.06707); TOOL_DIRECTION: (-0.105915, 0.083063, -0.9909)
TIME_SPECIAL: 1942750074310; POINT_POSITION: (339.905, 155.105, 2.24389); TOOL_DIRECTION: (-0.109314, 0.0860295, -0.990277)
TIME_SPECIAL: 1942766733140; POINT_POSITION: (315.566, 161.481, 1.82635); TOOL_DIRECTION: (-0.114406, 0.0921826, -0.989148)
TIME_SPECIAL: 1942783449712; POINT_POSITION: (293.169, 166.021, 0.36941); TOOL_DIRECTION: (-0.117751, 0.0937416, -0.988609)
TIME_SPECIAL: 1942800080382; POINT_POSITION: (273.803, 169.96, 0); TOOL_DIRECTION: (-0.119313, 0.0943801, -0.988361)
TIME_PRESSED: 1942800129875; KEY_PRESSED: VK_S; KEY_EXPECTED: VK_S
TIME_SPECIAL: 1942816779603; POINT_POSITION: (265.296, 171.338, 0); TOOL_DIRECTION: (-0.119225, 0.0926135, -0.988538)
TIME_SPECIAL: 1942833436158; POINT_POSITION: (251.808, 173.95, 0); TOOL_DIRECTION: (-0.116093, 0.0895454, -0.989194)
TIME_SPECIAL: 1942850165530; POINT_POSITION: (242.253, 175.882, 0); TOOL_DIRECTION: (-0.109007, 0.0865556, -0.990265)
TIME_SPECIAL: 1942866843133; POINT_POSITION: (231.122, 178.092, 1.62298); TOOL_DIRECTION: (-0.108722, 0.087468, -0.990217)
TIME_SPECIAL: 1942883467262; POINT_POSITION: (219.43, 179.202, 1.14733); TOOL_DIRECTION: (-0.110807, 0.0865788, -0.990064)
TIME_SPECIAL: 1942900116990; POINT_POSITION: (208.401, 180.104, 0.00988825); TOOL_DIRECTION: (-0.115483, 0.0866247, -0.989525)
TIME_SPECIAL: 1942916808815; POINT_POSITION: (199.82, 179.907, 0.276013); TOOL_DIRECTION: (-0.119876, 0.0873071, -0.988943)
TIME_SPECIAL: 1942933467361; POINT_POSITION: (196.816, 179.756, 0.128999); TOOL_DIRECTION: (-0.121127, 0.0867021, -0.988843)
TIME_SPECIAL: 1942950179097; POINT_POSITION: (192.585, 178.898, 0.708455); TOOL_DIRECTION: (-0.124417, 0.0844386, -0.988631)
TIME_SPECIAL: 1942966903634; POINT_POSITION: (190.62, 178.263, 2.34557); TOOL_DIRECTION: (-0.126515, 0.0829277, -0.988492)
TIME_SPECIAL: 1942983531460; POINT_POSITION: (189.229, 177.355, 2.95413); TOOL_DIRECTION: (-0.129429, 0.0804965, -0.988316)
TIME_SPECIAL: 1943000169242; POINT_POSITION: (191.741, 178.037, 3.31107); TOOL_DIRECTION: (-0.129979, 0.0773319, -0.988496)
TIME_SPECIAL: 1943016842010; POINT_POSITION: (196.327, 178.706, 5.19061); TOOL_DIRECTION: (-0.128418, 0.0745988, -0.98891)
TIME_SPECIAL: 1943033612625; POINT_POSITION: (198.822, 178.661, 7.21262); TOOL_DIRECTION: (-0.127062, 0.0727808, -0.989221)
TIME_SPECIAL: 1943050198354; POINT_POSITION: (201.969, 181.212, 14.2823); TOOL_DIRECTION: (-0.129595, 0.0766183, -0.988602)
TIME_SPECIAL: 1943066890464; POINT_POSITION: (206.082, 186.066, 24.2726); TOOL_DIRECTION: (-0.135027, 0.0853337, -0.987161)
TIME_SPECIAL: 1943083549579; POINT_POSITION: (210.644, 191.684, 36.6451); TOOL_DIRECTION: (-0.141659, 0.0975002, -0.985102)
TIME_SPECIAL: 1943100247093; POINT_POSITION: (216.267, 196.147, 50.1108); TOOL_DIRECTION: (-0.148254, 0.108381, -0.982993)
TIME_PRESSED: 1943100306257; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER
TIME_WORD_END: 1943100352620; WORD_VALUE: pens
TIME_WORD_START: 1943100412069; WORD_VALUE: calla
TIME_SPECIAL: 1943116845622; POINT_POSITION: (223.09, 199.257, 64.8142); TOOL_DIRECTION: (-0.153656, 0.117477, -0.981116)
TIME_SPECIAL: 1943133546834; POINT_POSITION: (231.957, 201.301, 79.7561); TOOL_DIRECTION: (-0.157601, 0.124519, -0.979621)
