PRACTICE_WORD_COUNT: 11
TIME_EXPERIMENT_START: 2879421758508
TIME_WORD_START: 2879422397646; WORD_VALUE: hipped
TIME_SPECIAL: 2882051582157; POINT_POSITION: (789.89, 219.122, 0); TOOL_DIRECTION: (0.0616026, -0.102404, -0.992834)
TIME_SPECIAL: 2882068235015; POINT_POSITION: (792.366, 220.195, 0); TOOL_DIRECTION: (0.0631739, -0.100779, -0.992901)
TIME_SPECIAL: 2882084917453; POINT_POSITION: (793.608, 220.825, 0); TOOL_DIRECTION: (0.0638845, -0.101345, -0.992798)
TIME_SPECIAL: 2882101575999; POINT_POSITION: (794.91, 221.211, 0); TOOL_DIRECTION: (0.0643256, -0.100482, -0.992857)
TIME_SPECIAL: 2882118274651; POINT_POSITION: (795.267, 221.439, 0); TOOL_DIRECTION: (0.063701, -0.0997483, -0.992972)
TIME_SPECIAL: 2882134963632; POINT_POSITION: (795.467, 221.567, 0); TOOL_DIRECTION: (0.0635484, -0.0991848, -0.993038)
TIME_SPECIAL: 2882151628151; POINT_POSITION: (795.688, 221.753, 0); TOOL_DIRECTION: (0.0633263, -0.0982993, -0.99314)
TIME_SPECIAL: 2882168248298; POINT_POSITION: (795.713, 222.226, 0); TOOL_DIRECTION: (0.0634105, -0.0949752, -0.993458)
TIME_SPECIAL: 2882184962879; POINT_POSITION: (795.043, 222.914, 0); TOOL_DIRECTION: (0.0620768, -0.0911108, -0.993904)
TIME_SPECIAL: 2882201586723; POINT_POSITION: (792.457, 223.853, 0); TOOL_DIRECTION: (0.0603672, -0.0839635, -0.994639)
TIME_SPECIAL: 2882218293908; POINT_POSITION: (790.068, 224.832, 0); TOOL_DIRECTION: (0.0581013, -0.077415, -0.995305)
TIME_SPECIAL: 2882234981751; POINT_POSITION: (783.918, 225.348, 0); TOOL_DIRECTION: (0.0543902, -0.0746374, -0.995726)
