PRACTICE_WORD_COUNT: 10
TIME_EXPERIMENT_START: 116897889399525
TIME_WORD_START: 116897889906401; WORD_VALUE: balls
TIME_SPECIAL: 116900285648985; POINT_POSITION: (530.027, 110.404, 47.2553); TOOL_DIRECTION: (-0.0819572, -0.0154429, -0.996516)
TIME_SPECIAL: 116900302320990; POINT_POSITION: (531.239, 110.247, 42.2488); TOOL_DIRECTION: (-0.0807912, -0.0155673, -0.996609)
TIME_SPECIAL: 116900319005795; POINT_POSITION: (532.456, 110.174, 37.7601); TOOL_DIRECTION: (-0.0806233, -0.0147556, -0.996635)
TIME_SPECIAL: 116900335645089; POINT_POSITION: (533.58, 110.17, 33.2436); TOOL_DIRECTION: (-0.0803799, -0.0146204, -0.996657)
TIME_SPECIAL: 116900352330747; POINT_POSITION: (534.49, 110.552, 28.3758); TOOL_DIRECTION: (-0.0808125, -0.0105325, -0.996674)
TIME_SPECIAL: 116900369041720; POINT_POSITION: (535.372, 110.729, 22.9286); TOOL_DIRECTION: (-0.080053, -0.0131506, -0.996704)
TIME_SPECIAL: 116900385679307; POINT_POSITION: (536.202, 110.923, 17.9058); TOOL_DIRECTION: (-0.0797053, -0.0125364, -0.99674)
TIME_SPECIAL: 116900402373783; POINT_POSITION: (536.759, 111.159, 13.2416); TOOL_DIRECTION: (-0.0798392, -0.0119719, -0.996736)
TIME_SPECIAL: 116900419032134; POINT_POSITION: (537.206, 111.408, 8.11875); TOOL_DIRECTION: (-0.0796047, -0.0111018, -0.996765)
TIME_SPECIAL: 116900435696174; POINT_POSITION: (537.47, 111.686, 3.23549); TOOL_DIRECTION: (-0.0803699, -0.00981816, -0.996717)
TIME_SPECIAL: 116900452406579; POINT_POSITION: (537.491, 111.844, 0); TOOL_DIRECTION: (-0.0813484, -0.00727796, -0.996659)
TIME_SPECIAL: 116900469068628; POINT_POSITION: (537.491, 111.844, 0); TOOL_DIRECTION: (-0.0822117, -0.00638163, -0.996594)
TIME_PRESSED: 116900469101339; KEY_PRESSED: VK_B; KEY_EXPECTED: VK_B
TIME_SPECIAL: 116900485781592; POINT_POSITION: (537.491, 111.844, 0); TOOL_DIRECTION: (-0.0817799, -0.00729948, -0.996624)
TIME_SPECIAL: 116900502408086; POINT_POSITION: (537.491, 111.844, 0); TOOL_DIRECTION: (-0.0822369, -0.00763389, -0.996584)
TIME_SPECIAL: 116900519063309; POINT_POSITION: (537.491, 111.844, 0); TOOL_DIRECTION: (-0.0824893, -0.00691508, -0.996568)
TIME_SPECIAL: 116900535787651; POINT_POSITION: (537.467, 111.874, 0); TOOL_DIRECTION: (-0.0824761, -0.00698404, -0.996569)
TIME_SPECIAL: 116900552434056; POINT_POSITION: (537.32, 112.005, 0); TOOL_DIRECTION: (-0.0825063, -0.00767269, -0.996561)
TIME_SPECIAL: 116900569121420; POINT_POSITION: (536.9, 112.295, 0); TOOL_DIRECTION: (-0.08264, -0.00809291, -0.996547)
TIME_SPECIAL: 116900585791150; POINT_POSITION: (536.085, 112.876, 0); TOOL_DIRECTION: (-0.0830662, -0.0054174, -0.996529)
TIME_SPECIAL: 116900602481927; POINT_POSITION: (534.986, 113.139, 0); TOOL_DIRECTION: (-0.0836523, -0.0140598, -0.996396)
TIME_SPECIAL: 116900619130039; POINT_POSITION: (533.884, 113.104, 0); TOOL_DIRECTION: (-0.0820325, -0.0179595, -0.996468)
TIME_SPECIAL: 116900635825937; POINT_POSITION: (532.764, 113.119, 0); TOOL_DIRECTION: (-0.0817928, -0.0167733, -0.996508)
TIME_SPECIAL: 116900652479737; POINT_POSITION: (531.563, 113.019, 0); TOOL_DIRECTION: (-0.0814429, -0.0201534, -0.996474)
TIME_SPECIAL: 116900669162551; POINT_POSITION: (530.354, 112.742, 0); TOOL_DIRECTION: (-0.0810833, -0.0203743, -0.996499)
TIME_SPECIAL: 116900685862146; POINT_POSITION: (529.047, 112.625, 0); TOOL_DIRECTION: (-0.0816823, -0.0161273, -0.996528)
TIME_SPECIAL: 116900702523058; POINT_POSITION: (528.328, 112.43, 0); TOOL_DIRECTION: (-0.0818392, -0.0164114, -0.99651)
TIME_SPECIAL: 116900719178280; POINT_POSITION: (526.795, 111.687, 0); TOOL_DIRECTION: (-0.0820025, -0.0182023, -0.996466)
TIME_SPECIAL: 116900735885271; POINT_POSITION: (525.398, 110.749, 0); TOOL_DIRECTION: (-0.0819069, -0.0185411, -0.996468)
TIME_SPECIAL: 116900752571783; POINT_POSITION: (524.176, 109.646, 0); TOOL_DIRECTION: (-0.0817625, -0.0199971, -0.996451)
TIME_SPECIAL: 116900769248339; POINT_POSITION: (523.4, 109.051, 0); TOOL_DIRECTION: (-0.0820199, -0.0168295, -0.996489)
