PRACTICE_WORD_COUNT: 0
TIME_EXPERIMENT_START: 221780778890400
TIME_WORD_START: 221780785372747; WORD_VALUE: the
TIME_SPECIAL: 221784083770959; POINT_POSITION: (270.013, 219.432, 296.822); TOOL_DIRECTION: (-0.111251, 0.263492, -0.958225)
TIME_SPECIAL: 221784112139733; POINT_POSITION: (293.408, 212.065, 330.585); TOOL_DIRECTION: (-0.105147, 0.261194, -0.959543)
TIME_SPECIAL: 221784136787640; POINT_POSITION: (312.471, 208.359, 351.69); TOOL_DIRECTION: (-0.100554, 0.264598, -0.959102)
TIME_SPECIAL: 221784161110215; POINT_POSITION: (341.47, 200.729, 372.548); TOOL_DIRECTION: (-0.0965086, 0.260086, -0.960751)
TIME_SPECIAL: 221784185918560; POINT_POSITION: (362.304, 197.094, 380.79); TOOL_DIRECTION: (-0.0938885, 0.264021, -0.959936)
TIME_SPECIAL: 221784216614497; POINT_POSITION: (390.583, 190.237, 379.845); TOOL_DIRECTION: (-0.086923, 0.258536, -0.962083)
TIME_SPECIAL: 221784238002189; POINT_POSITION: (403.804, 185.846, 376.412); TOOL_DIRECTION: (-0.0882137, 0.255105, -0.962881)
TIME_SPECIAL: 221784262831602; POINT_POSITION: (422.328, 180.141, 369.703); TOOL_DIRECTION: (-0.0874491, 0.248685, -0.964629)
TIME_SPECIAL: 221784294230063; POINT_POSITION: (431.836, 176.985, 364.263); TOOL_DIRECTION: (-0.0898154, 0.246002, -0.965099)
TIME_SPECIAL: 221784326149137; POINT_POSITION: (447.246, 171.629, 356.423); TOOL_DIRECTION: (-0.0918482, 0.240204, -0.966367)
TIME_SPECIAL: 221784354973296; POINT_POSITION: (455.695, 170.044, 354.291); TOOL_DIRECTION: (-0.0949771, 0.247096, -0.964325)
TIME_SPECIAL: 221784380154782; POINT_POSITION: (463.979, 168.037, 348.202); TOOL_DIRECTION: (-0.0934282, 0.245842, -0.964797)
TIME_SPECIAL: 221784403728645; POINT_POSITION: (468.226, 167.962, 346.766); TOOL_DIRECTION: (-0.0931487, 0.251294, -0.963418)
TIME_SPECIAL: 221784426017384; POINT_POSITION: (471.085, 167.934, 346.096); TOOL_DIRECTION: (-0.0952043, 0.254302, -0.962427)
TIME_SPECIAL: 221784454132941; POINT_POSITION: (471.053, 168.786, 345.49); TOOL_DIRECTION: (-0.0965576, 0.258528, -0.961166)
TIME_SPECIAL: 221784477608759; POINT_POSITION: (472.989, 167.741, 341.903); TOOL_DIRECTION: (-0.100121, 0.267969, -0.958211)
TIME_SPECIAL: 221784504520626; POINT_POSITION: (475.322, 166.942, 340.856); TOOL_DIRECTION: (-0.100316, 0.267713, -0.958262)
TIME_SPECIAL: 221784531827916; POINT_POSITION: (480.73, 166.019, 339.96); TOOL_DIRECTION: (-0.0983757, 0.263727, -0.959568)
TIME_SPECIAL: 221784554462244; POINT_POSITION: (484.652, 165.807, 340.778); TOOL_DIRECTION: (-0.0973748, 0.26543, -0.9592)
TIME_SPECIAL: 221784577576266; POINT_POSITION: (487.345, 167.56, 340.545); TOOL_DIRECTION: (-0.0975046, 0.274616, -0.956598)
