PRACTICE_WORD_COUNT: 0
TIME_EXPERIMENT_START: 222941053257743
TIME_WORD_START: 222941074517409; WORD_VALUE: the
TIME_SPECIAL: 222946287448718; POINT_POSITION: (500.767, 113.738, 434.558); TOOL_DIRECTION: (0.0548858, -0.360604, -0.931103)
TIME_SPECIAL: 222946319180615; POINT_POSITION: (500.518, 113.857, 0); TOOL_DIRECTION: (0.0553344, -0.363021, -0.930136)
TIME_PRESSED: 222946319531877; KEY_PRESSED: VK_B; KEY_EXPECTED: VK_B
TIME_SPECIAL: 222946416054422; POINT_POSITION: (499.656, 114.498, 0); TOOL_DIRECTION: (0.0550198, -0.365221, -0.929294)
TIME_SPECIAL: 222946457176403; POINT_POSITION: (497.968, 116.236, 0); TOOL_DIRECTION: (0.0513359, -0.344767, -0.937284)
TIME_SPECIAL: 222946491918134; POINT_POSITION: (494.394, 119.399, 0); TOOL_DIRECTION: (0.0499549, -0.339427, -0.939305)
TIME_SPECIAL: 222946528621990; POINT_POSITION: (485.774, 127.165, 0); TOOL_DIRECTION: (0.0465553, -0.329965, -0.942845)
TIME_SPECIAL: 222946560896378; POINT_POSITION: (472.07, 138.155, 0); TOOL_DIRECTION: (0.0397054, -0.315435, -0.948116)
TIME_SPECIAL: 222946592198414; POINT_POSITION: (461.615, 145.538, 0); TOOL_DIRECTION: (0.0330174, -0.302976, -0.952426)
TIME_SPECIAL: 222946626050444; POINT_POSITION: (450.616, 156.101, 0); TOOL_DIRECTION: (0.0297084, -0.292188, -0.955899)
TIME_SPECIAL: 222946659441416; POINT_POSITION: (441.231, 167.22, 0); TOOL_DIRECTION: (0.0240213, -0.274424, -0.961309)
TIME_SPECIAL: 222946690432704; POINT_POSITION: (433.819, 174.142, 0); TOOL_DIRECTION: (0.0206687, -0.268209, -0.963139)
TIME_SPECIAL: 222946721986742; POINT_POSITION: (423.856, 183.144, 0); TOOL_DIRECTION: (0.0160739, -0.25612, -0.966511)
TIME_SPECIAL: 222946752311969; POINT_POSITION: (417.62, 188.882, 0); TOOL_DIRECTION: (0.0148752, -0.251905, -0.967638)
TIME_SPECIAL: 222946782254738; POINT_POSITION: (410.185, 194.589, 0); TOOL_DIRECTION: (0.0118075, -0.245535, -0.969316)
TIME_SPECIAL: 222946819479613; POINT_POSITION: (395.337, 203.556, 0); TOOL_DIRECTION: (0.00302922, -0.232355, -0.972626)
TIME_SPECIAL: 222946852725948; POINT_POSITION: (387.095, 207.595, 0); TOOL_DIRECTION: (-0.00118796, -0.230756, -0.973011)
TIME_PRESSED: 222946853116914; KEY_PRESSED: VK_R; KEY_EXPECTED: VK_R
TIME_SPECIAL: 222946967034431; POINT_POSITION: (362.311, 222.696, 0); TOOL_DIRECTION: (-0.00917866, -0.219109, -0.975657)
TIME_SPECIAL: 222947007944115; POINT_POSITION: (348.241, 227.971, 0); TOOL_DIRECTION: (-0.0142123, -0.218334, -0.975771)
TIME_SPECIAL: 222947041201389; POINT_POSITION: (342.42, 230.033, 0); TOOL_DIRECTION: (-0.0153433, -0.216269, -0.976213)
TIME_SPECIAL: 222947077703482; POINT_POSITION: (336.965, 231.533, 0); TOOL_DIRECTION: (-0.0151938, -0.217803, -0.975874)
TIME_SPECIAL: 222947110046745; POINT_POSITION: (335.506, 232.43, 0); TOOL_DIRECTION: (-0.0157017, -0.215022, -0.976483)
TIME_SPECIAL: 222947142245371; POINT_POSITION: (336.562, 233.997, 0); TOOL_DIRECTION: (-0.012537, -0.209823, -0.977659)
TIME_SPECIAL: 222947175840942; POINT_POSITION: (339.24, 234.517, 0); TOOL_DIRECTION: (-0.0107999, -0.209475, -0.977754)
TIME_SPECIAL: 222947207457372; POINT_POSITION: (347.253, 234.679, 0); TOOL_DIRECTION: (-0.00732734, -0.204891, -0.978757)
TIME_SPECIAL: 222947239673419; POINT_POSITION: (356.017, 234.528, 0); TOOL_DIRECTION: (-0.00390301, -0.203408, -0.979086)
TIME_SPECIAL: 222947272257339; POINT_POSITION: (373.265, 234.057, 0); TOOL_DIRECTION: (-0.000346761, -0.197207, -0.980362)
TIME_SPECIAL: 222947304654486; POINT_POSITION: (398.131, 234.247, 0); TOOL_DIRECTION: (0.0115226, -0.197972, -0.98014)
TIME_SPECIAL: 222947337621675; POINT_POSITION: (423.719, 234.166, 0); TOOL_DIRECTION: (0.0221984, -0.201226, -0.979293)
TIME_SPECIAL: 222947372214718; POINT_POSITION: (458.462, 236.529, 0); TOOL_DIRECTION: (0.0383254, -0.195569, -0.979941)
TIME_SPECIAL: 222947403980646; POINT_POSITION: (482.402, 237.501, 0); TOOL_DIRECTION: (0.048258, -0.197741, -0.979066)
TIME_SPECIAL: 222947436936086; POINT_POSITION: (513.893, 237.78, 0); TOOL_DIRECTION: (0.0656472, -0.20389, -0.97679)
TIME_SPECIAL: 222947466327856; POINT_POSITION: (528.621, 238.371, 0); TOOL_DIRECTION: (0.0693473, -0.201205, -0.977091)
TIME_SPECIAL: 222947500654311; POINT_POSITION: (565.465, 238.601, 0); TOOL_DIRECTION: (0.0865531, -0.203754, -0.975189)
TIME_SPECIAL: 222947529652683; POINT_POSITION: (587.75, 238.84, 0); TOOL_DIRECTION: (0.0950399, -0.204076, -0.974331)
TIME_SPECIAL: 222947576562589; POINT_POSITION: (622.191, 239.613, 0); TOOL_DIRECTION: (0.114782, -0.205888, -0.971821)
TIME_SPECIAL: 222947610223794; POINT_POSITION: (645.162, 240.244, 0); TOOL_DIRECTION: (0.116983, -0.204736, -0.971801)
TIME_PRESSED: 222947610550748; KEY_PRESSED: VK_O; KEY_EXPECTED: VK_O
TIME_SPECIAL: 222947683615301; POINT_POSITION: (678.156, 241.792, 0); TOOL_DIRECTION: (0.137138, -0.207314, -0.968614)
TIME_SPECIAL: 222947718394711; POINT_POSITION: (686.951, 241.318, 0); TOOL_DIRECTION: (0.141254, -0.209545, -0.967542)
TIME_SPECIAL: 222947752307512; POINT_POSITION: (690.77, 241.279, 0); TOOL_DIRECTION: (0.142981, -0.212177, -0.966715)
TIME_SPECIAL: 222947783659787; POINT_POSITION: (694.749, 241.654, 0); TOOL_DIRECTION: (0.144935, -0.21164, -0.966541)
TIME_SPECIAL: 222947818134931; POINT_POSITION: (697.938, 241.847, 0); TOOL_DIRECTION: (0.146889, -0.210235, -0.966553)
TIME_SPECIAL: 222947847704155; POINT_POSITION: (699.233, 241.503, 0); TOOL_DIRECTION: (0.146815, -0.210424, -0.966523)
TIME_SPECIAL: 222947881134832; POINT_POSITION: (698.491, 241.06, 0); TOOL_DIRECTION: (0.145541, -0.212402, -0.966283)
TIME_SPECIAL: 222947915851038; POINT_POSITION: (694.832, 240.445, 0); TOOL_DIRECTION: (0.139342, -0.207342, -0.968294)
TIME_SPECIAL: 222947944770812; POINT_POSITION: (689.464, 240.496, 0); TOOL_DIRECTION: (0.127127, -0.200241, -0.971464)
TIME_SPECIAL: 222947981261561; POINT_POSITION: (677.424, 240.263, 0); TOOL_DIRECTION: (0.120901, -0.199766, -0.972356)
TIME_SPECIAL: 222948011429592; POINT_POSITION: (657.245, 239.698, 0); TOOL_DIRECTION: (0.11645, -0.204908, -0.971829)
TIME_SPECIAL: 222948045435577; POINT_POSITION: (634.672, 239.142, 0); TOOL_DIRECTION: (0.107857, -0.208526, -0.972051)
TIME_SPECIAL: 222948080063057; POINT_POSITION: (598.066, 239.537, 0); TOOL_DIRECTION: (0.092025, -0.207406, -0.973917)
TIME_SPECIAL: 222948121083751; POINT_POSITION: (562.835, 240.412, 0); TOOL_DIRECTION: (0.068394, -0.193185, -0.978776)
TIME_SPECIAL: 222948153337071; POINT_POSITION: (526.72, 240.278, 0); TOOL_DIRECTION: (0.0585013, -0.198955, -0.978261)
TIME_SPECIAL: 222948187330496; POINT_POSITION: (488.867, 240.313, 0); TOOL_DIRECTION: (0.0433578, -0.201828, -0.978461)
TIME_SPECIAL: 222948221884239; POINT_POSITION: (452.512, 241.276, 0); TOOL_DIRECTION: (0.0294471, -0.20203, -0.978936)
TIME_SPECIAL: 222948254234390; POINT_POSITION: (417.378, 241.163, 0); TOOL_DIRECTION: (0.0151067, -0.202107, -0.979247)
TIME_SPECIAL: 222948288961536; POINT_POSITION: (392.49, 241.119, 0); TOOL_DIRECTION: (0.00593083, -0.200574, -0.979661)
TIME_SPECIAL: 222948327453709; POINT_POSITION: (362.456, 240.457, 0); TOOL_DIRECTION: (-0.00576681, -0.206448, -0.978441)
TIME_SPECIAL: 222948359813178; POINT_POSITION: (335.697, 240.223, 0); TOOL_DIRECTION: (-0.0148157, -0.210742, -0.977429)
TIME_SPECIAL: 222948391509017; POINT_POSITION: (311.291, 241.268, 0); TOOL_DIRECTION: (-0.0245168, -0.208412, -0.977734)
TIME_SPECIAL: 222948425759710; POINT_POSITION: (293.527, 242.141, 0); TOOL_DIRECTION: (-0.0309508, -0.207609, -0.977722)
TIME_SPECIAL: 222948460303730; POINT_POSITION: (270.788, 243.486, 0); TOOL_DIRECTION: (-0.0389839, -0.206494, -0.977671)
TIME_SPECIAL: 222948494873679; POINT_POSITION: (248.883, 244.756, 0); TOOL_DIRECTION: (-0.0460746, -0.207986, -0.977046)
TIME_PRESSED: 222948495248034; KEY_PRESSED: VK_W; KEY_EXPECTED: VK_W
TIME_SPECIAL: 222948590534072; POINT_POSITION: (197.646, 246.602, 0); TOOL_DIRECTION: (-0.0652108, -0.20918, -0.9757)
