PRACTICE_WORD_COUNT: 0
TIME_EXPERIMENT_START: 221966136902702
TIME_WORD_START: 221966143975752; WORD_VALUE: the
TIME_SPECIAL: 221971963801766; POINT_POSITION: (405.251, 149.285, 0); TOOL_DIRECTION: (0.111851, -0.253344, -0.960888)
TIME_SPECIAL: 221971994809261; POINT_POSITION: (387.925, 158.52, 0); TOOL_DIRECTION: (0.103597, -0.242163, -0.964689)
TIME_SPECIAL: 221972027816559; POINT_POSITION: (367.564, 169.428, 0); TOOL_DIRECTION: (0.0958774, -0.232056, -0.967966)
TIME_SPECIAL: 221972061391468; POINT_POSITION: (354.265, 178.579, 0); TOOL_DIRECTION: (0.0902638, -0.221572, -0.970957)
TIME_SPECIAL: 221972094641854; POINT_POSITION: (342.098, 187.479, 0); TOOL_DIRECTION: (0.0847482, -0.210626, -0.973886)
TIME_PRESSED: 221972095437157; KEY_PRESSED: VK_R; KEY_EXPECTED: VK_R
TIME_SPECIAL: 221972154326034; POINT_POSITION: (320.308, 204.407, 0); TOOL_DIRECTION: (0.0760706, -0.195564, -0.977736)
TIME_SPECIAL: 221972184927166; POINT_POSITION: (314.517, 209.99, 0); TOOL_DIRECTION: (0.074052, -0.192063, -0.978585)
TIME_SPECIAL: 221972221182120; POINT_POSITION: (308.506, 219.1, 0); TOOL_DIRECTION: (0.0692806, -0.174865, -0.982152)
TIME_SPECIAL: 221972252167737; POINT_POSITION: (305.296, 224.093, 0); TOOL_DIRECTION: (0.0678149, -0.170089, -0.983093)
TIME_SPECIAL: 221972283517985; POINT_POSITION: (303.182, 229.702, 0); TOOL_DIRECTION: (0.0672678, -0.16428, -0.984117)
TIME_SPECIAL: 221972318474444; POINT_POSITION: (301.641, 234.849, 0); TOOL_DIRECTION: (0.0682469, -0.162705, -0.984312)
TIME_SPECIAL: 221972357174458; POINT_POSITION: (300.905, 237.789, 0); TOOL_DIRECTION: (0.0683493, -0.160778, -0.984621)
TIME_SPECIAL: 221972387948993; POINT_POSITION: (300.353, 239.316, 0); TOOL_DIRECTION: (0.0683577, -0.159813, -0.984778)
TIME_SPECIAL: 221972425011810; POINT_POSITION: (299.137, 241.358, 0); TOOL_DIRECTION: (0.0675333, -0.157878, -0.985147)
TIME_SPECIAL: 221972462090021; POINT_POSITION: (299.537, 243.624, 0); TOOL_DIRECTION: (0.0676997, -0.156319, -0.985384)
TIME_SPECIAL: 221972496919669; POINT_POSITION: (303.728, 244.429, 0); TOOL_DIRECTION: (0.0711751, -0.156355, -0.985133)
TIME_SPECIAL: 221972540871194; POINT_POSITION: (321.454, 243.698, 0); TOOL_DIRECTION: (0.0794676, -0.15511, -0.984696)
TIME_SPECIAL: 221972581009074; POINT_POSITION: (348.628, 240.353, 0); TOOL_DIRECTION: (0.093834, -0.16118, -0.982454)
TIME_SPECIAL: 221972610324676; POINT_POSITION: (378.862, 239.078, 0); TOOL_DIRECTION: (0.107312, -0.158949, -0.981437)
TIME_SPECIAL: 221972645780681; POINT_POSITION: (405.163, 238.916, 0); TOOL_DIRECTION: (0.117764, -0.155609, -0.980774)
TIME_SPECIAL: 221972681767428; POINT_POSITION: (442.336, 238.422, 0); TOOL_DIRECTION: (0.133696, -0.156146, -0.978644)
TIME_SPECIAL: 221972710311225; POINT_POSITION: (471.624, 238.878, 0); TOOL_DIRECTION: (0.146681, -0.153319, -0.97723)
