TIME_EXPERIMENT_START: 312860313893451
TIME_WORD_START: 312860319066769 WORD_VALUE: the
TIME_SPECIAL: 312872963659560 POINT_POSITION: (301, 164, 0)
TIME_PRESSED: 312872964038372 KEY_PRESSED: VK_X KEY_EXPECTED: VK_X KEY_PRESSED_UPPER: false KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 312873017971900 POINT_POSITION: (281, 162, 0)
TIME_SPECIAL: 312873046837384 POINT_POSITION: (272, 157, 0)
TIME_SPECIAL: 312873072331238 POINT_POSITION: (255, 149, 0)
TIME_SPECIAL: 312873101035473 POINT_POSITION: (255, 149, 0)
TIME_SPECIAL: 312873126381043 POINT_POSITION: (251, 145, 0)
TIME_SPECIAL: 312873148318114 POINT_POSITION: (250, 145, 0)
TIME_SPECIAL: 312873172326295 POINT_POSITION: (246, 139, 0)
TIME_SPECIAL: 312873199999027 POINT_POSITION: (241, 139, 0)
TIME_SPECIAL: 312873224976319 POINT_POSITION: (237, 138, 0)
TIME_SPECIAL: 312873240923296 POINT_POSITION: (235, 137, 0)
TIME_SPECIAL: 312873270665518 POINT_POSITION: (235, 137, 0)
TIME_SPECIAL: 312873298185915 POINT_POSITION: (232, 136, 0)
TIME_SPECIAL: 312873319946747 POINT_POSITION: (232, 136, 0)
TIME_SPECIAL: 312873832049693 POINT_POSITION: (658, 25, 0)
TIME_PRESSED: 312873832310203 KEY_PRESSED: VK_ENTER KEY_EXPECTED: VK_ENTER KEY_PRESSED_UPPER: false KEY_EXPECTED_UPPER: false
TIME_WORD_END: 312873832497380 WORD_VALUE: fox
TIME_WORD_START: 312873832806102 WORD_VALUE: jumped
TIME_SPECIAL: 312873878930429 POINT_POSITION: (658, 25, 0)
TIME_SPECIAL: 312873913439200 POINT_POSITION: (659, 25, 0)
TIME_SPECIAL: 312874815341850 POINT_POSITION: (525, 176, 0)
TIME_PRESSED: 312874815830862 KEY_PRESSED: VK_J KEY_EXPECTED: VK_J KEY_PRESSED_UPPER: false KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 312874862446632 POINT_POSITION: (521, 184, 0)
TIME_SPECIAL: 312874891808015 POINT_POSITION: (512, 200, 0)
TIME_PRESSED: 312874892437208 KEY_PRESSED: VK_U KEY_EXPECTED: VK_U KEY_PRESSED_UPPER: false KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 312874940102712 POINT_POSITION: (489, 256, 0)
TIME_SPECIAL: 312874963000791 POINT_POSITION: (489, 256, 0)
TIME_SPECIAL: 312874989917115 POINT_POSITION: (485, 265, 0)
TIME_SPECIAL: 312875016105795 POINT_POSITION: (482, 270, 0)
TIME_SPECIAL: 312875048626917 POINT_POSITION: (477, 282, 0)
TIME_SPECIAL: 312875078484200 POINT_POSITION: (477, 287, 0)
TIME_SPECIAL: 312875100647748 POINT_POSITION: (476, 288, 0)
TIME_SPECIAL: 312875123673853 POINT_POSITION: (475, 288, 0)
TIME_SPECIAL: 312875152117174 POINT_POSITION: (475, 288, 0)
TIME_SPECIAL: 312875177527568 POINT_POSITION: (479, 279, 0)
TIME_SPECIAL: 312875198363855 POINT_POSITION: (479, 279, 0)
TIME_SPECIAL: 312875224076893 POINT_POSITION: (483, 268, 0)
TIME_SPECIAL: 312875249434617 POINT_POSITION: (505, 228, 0)
TIME_SPECIAL: 312875275027732 POINT_POSITION: (508, 206, 0)
TIME_SPECIAL: 312875296718068 POINT_POSITION: (523, 197, 0)
TIME_SPECIAL: 312875318331427 POINT_POSITION: (523, 197, 0)
TIME_SPECIAL: 312875345221011 POINT_POSITION: (532, 186, 0)
TIME_SPECIAL: 312875370757405 POINT_POSITION: (545, 174, 0)
