TIME_EXPERIMENT_START: 14895102190570
TIME_WORD_START: 14895105553667; WORD_VALUE: the
TIME_SPECIAL: 14897795236403; POINT_POSITION: (196.511, 261.357, 0); TOOL_DIRECTION: (-0.0999645, 0.0167083, -0.994851)
TIME_SPECIAL: 14897807708342; POINT_POSITION: (196.511, 261.357, 0); TOOL_DIRECTION: (-0.0999645, 0.0167083, -0.994851)
TIME_SPECIAL: 14897820292505; POINT_POSITION: (193.515, 261.416, 0); TOOL_DIRECTION: (-0.104083, 0.0161555, -0.994437)
TIME_SPECIAL: 14897833091800; POINT_POSITION: (188.375, 262.625, 0); TOOL_DIRECTION: (-0.11592, 0.0208552, -0.99304)
TIME_SPECIAL: 14897844927258; POINT_POSITION: (186.616, 262.886, 0); TOOL_DIRECTION: (-0.120678, 0.0219601, -0.992449)
TIME_SPECIAL: 14897857686849; POINT_POSITION: (183.894, 264.215, 0); TOOL_DIRECTION: (-0.129547, 0.025617, -0.991242)
TIME_SPECIAL: 14897871350315; POINT_POSITION: (182.928, 265.608, 0); TOOL_DIRECTION: (-0.133882, 0.0288848, -0.990576)
TIME_SPECIAL: 14897886177353; POINT_POSITION: (181.568, 270.83, 0); TOOL_DIRECTION: (-0.143259, 0.0412863, -0.988824)
TIME_SPECIAL: 14897899599353; POINT_POSITION: (180.688, 274.787, 15.0108); TOOL_DIRECTION: (-0.153622, 0.0517808, -0.986772)
TIME_SPECIAL: 14897915428311; POINT_POSITION: (180.891, 276.342, 24.9533); TOOL_DIRECTION: (-0.158111, 0.056371, -0.985811)
TIME_SPECIAL: 14897930923026; POINT_POSITION: (180.979, 279.247, 45.514); TOOL_DIRECTION: (-0.168874, 0.0655068, -0.983458)
TIME_SPECIAL: 14897944929648; POINT_POSITION: (182.887, 283.155, 69.5315); TOOL_DIRECTION: (-0.178322, 0.0773381, -0.980928)
TIME_SPECIAL: 14897961524328; POINT_POSITION: (186.898, 287.633, 96.4959); TOOL_DIRECTION: (-0.186149, 0.0914098, -0.97826)
