KEYBOARD_TYPE: tablet
PRACTICE_WORDS_PER_INPUT: 10
WORD_ORDER: [dubbed, bale, find, mans, sires, hailed, core, sue, coy, sicker, falls, shier, tin, dipped, tales]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST: [19.009386, 14.180516, 12.496275, 23.181797, 4.1346593, 14.838936, 13.401227, 10.593673, 19.673693, 13.97845, 10.622981, 10.113132, 21.223011, 15.938141, 14.767969]
TEXT_ENTRY_RATE_MODIFIED_WPM_VULTURE: [8.304888, 17.725645, 14.732535, 28.977243, 4.207554, 18.54867, 3.7258134, 15.890508, 23.60843, 18.637934, 11.89326, 15.1697, 21.615717, 19.125769, 22.15195]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST_VULTURE: [8.63114, 17.725645, 16.6617, 28.977243, 4.207554, 18.54867, 3.7258134, 15.890508, 23.60843, 18.637934, 14.163974, 15.1697, 25.467611, 19.125769, 22.15195]
ERROR_RATE_KSPC: [2.4285715, 1.0, 1.5, 1.0, 6.0, 1.0, 2.6, 1.0, 1.0, 1.0, 1.5, 1.0, 1.3333334, 1.0, 1.0]
ERROR_RATE_MODIFIED_KSPC_SHORTEST: [2.0, 1.0, 1.0, 1.0, 6.0, 1.0, 2.6, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
ERROR_RATE_MODIFIED_MSD_SHORTEST: [25.0, 0.0, 20.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.0, 0.0, 14.285715, 0.0, 0.0]
ERROR_RATE_MODIFIED_MSD_BACKSPACE: [35.294117, 0.0, 16.666668, 0.0, 41.666664, 0.0, 30.769232, 0.0, 0.0, 0.0, 16.666668, 0.0, 12.5, 0.0, 0.0]
TOTAL_ERROR_RATE: [50.0, 0.0, 20.0, 0.0, 71.42857, 0.0, 44.444447, 0.0, 0.0, 0.0, 20.0, 0.0, 14.285715, 0.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_SHORTEST: [50.0, 0.0, 20.0, 0.0, 71.42857, 0.0, 44.444447, 0.0, 0.0, 0.0, 20.0, 0.0, 14.285715, 0.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_BACKSPACE: [35.294117, 0.0, 16.666668, 0.0, 41.666664, 0.0, 30.769232, 0.0, 0.0, 0.0, 16.666668, 0.0, 12.5, 0.0, 0.0]
FRECHET_DISTANCE_TOUCH_ONLY: [715.9634, 286.3221, 742.2183, 149.26166, 494.4144, 148.25674, 514.6562, 144.25407, 257.522, 184.42714, 700.2676, 216.18047, 706.82404, 203.34755, 100.45525]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_SHORTEST: [494.6893, 286.3221, 148.51985, 149.26166, 494.4144, 148.25674, 514.6562, 144.25407, 257.522, 184.42714, 288.44885, 216.18047, 177.28815, 203.34755, 100.45525]
