PRACTICE_WORD_COUNT: 8
TIME_EXPERIMENT_START: 147748413571130
TIME_WORD_START: 147748414493292; WORD_VALUE: cocker
TIME_SPECIAL: 147751205546108; POINT_POSITION: (382.484, 82.0357, 0); TOOL_DIRECTION: (-0.0973934, -0.129915, -0.98673)
TIME_SPECIAL: 147751222256797; POINT_POSITION: (382.137, 80.8556, 0); TOOL_DIRECTION: (-0.0975458, -0.131892, -0.986453)
TIME_SPECIAL: 147751238952411; POINT_POSITION: (381.162, 79.2611, 0); TOOL_DIRECTION: (-0.0971915, -0.133841, -0.986225)
TIME_SPECIAL: 147751255609909; POINT_POSITION: (379.75, 77.9957, 0); TOOL_DIRECTION: (-0.0975404, -0.136577, -0.985816)
TIME_SPECIAL: 147751272289309; POINT_POSITION: (377.905, 77.8099, 0); TOOL_DIRECTION: (-0.0982052, -0.133885, -0.986119)
TIME_SPECIAL: 147751288994593; POINT_POSITION: (375.173, 77.7445, 0); TOOL_DIRECTION: (-0.0991066, -0.132149, -0.986263)
TIME_SPECIAL: 147751305630758; POINT_POSITION: (372.429, 77.9073, 0); TOOL_DIRECTION: (-0.0998856, -0.132014, -0.986202)
TIME_SPECIAL: 147751322305039; POINT_POSITION: (370.075, 78.6465, 0); TOOL_DIRECTION: (-0.100995, -0.127821, -0.986642)
TIME_SPECIAL: 147751339009470; POINT_POSITION: (368.233, 79.8196, 0); TOOL_DIRECTION: (-0.101201, -0.123737, -0.987141)
TIME_SPECIAL: 147751355659572; POINT_POSITION: (367.689, 81.3975, 0); TOOL_DIRECTION: (-0.101651, -0.118931, -0.987685)
TIME_SPECIAL: 147751372284075; POINT_POSITION: (367.455, 82.6852, 0); TOOL_DIRECTION: (-0.101876, -0.115253, -0.988098)
TIME_SPECIAL: 147751389074692; POINT_POSITION: (367.299, 83.2426, 0); TOOL_DIRECTION: (-0.102281, -0.113382, -0.988273)
TIME_SPECIAL: 147751405681844; POINT_POSITION: (366.815, 84.2288, 0); TOOL_DIRECTION: (-0.103515, -0.109782, -0.988551)
