PRACTICE_WORD_COUNT: 8
TIME_EXPERIMENT_START: 123840877189279
TIME_WORD_START: 123840877819318; WORD_VALUE: dinned
TIME_SPECIAL: 123843188808682; POINT_POSITION: (543.617, 239.079, 0); TOOL_DIRECTION: (0.109889, -0.118375, -0.98687)
TIME_SPECIAL: 123843205495478; POINT_POSITION: (551.427, 239.527, 0); TOOL_DIRECTION: (0.113664, -0.116873, -0.986621)
TIME_PRESSED: 123843205529895; KEY_PRESSED: VK_I; KEY_EXPECTED: VK_I
TIME_SPECIAL: 123843222185118; POINT_POSITION: (558.333, 239.923, 0); TOOL_DIRECTION: (0.116991, -0.115552, -0.986388)
TIME_SPECIAL: 123843238784590; POINT_POSITION: (565.772, 240.646, 0); TOOL_DIRECTION: (0.12172, -0.112912, -0.986121)
TIME_SPECIAL: 123843255520878; POINT_POSITION: (569.411, 241.122, 0); TOOL_DIRECTION: (0.124168, -0.111802, -0.985943)
TIME_SPECIAL: 123843272187763; POINT_POSITION: (576.006, 241.954, 0); TOOL_DIRECTION: (0.128439, -0.110038, -0.985594)
TIME_SPECIAL: 123843288889634; POINT_POSITION: (581.518, 243.091, 0); TOOL_DIRECTION: (0.130736, -0.10655, -0.985675)
TIME_SPECIAL: 123843305519826; POINT_POSITION: (587.364, 243.926, 0); TOOL_DIRECTION: (0.134564, -0.103617, -0.985473)
TIME_SPECIAL: 123843322204915; POINT_POSITION: (593.928, 245.626, 0); TOOL_DIRECTION: (0.138988, -0.0995465, -0.985278)
TIME_SPECIAL: 123843338867533; POINT_POSITION: (599.736, 247.133, 0); TOOL_DIRECTION: (0.143883, -0.0954437, -0.984981)
TIME_SPECIAL: 123843355572818; POINT_POSITION: (604.439, 248.519, 0); TOOL_DIRECTION: (0.14732, -0.0925276, -0.984751)
TIME_SPECIAL: 123843372209836; POINT_POSITION: (607.258, 249.401, 0); TOOL_DIRECTION: (0.149105, -0.0902845, -0.984691)
TIME_SPECIAL: 123843388883832; POINT_POSITION: (608.22, 249.601, 0); TOOL_DIRECTION: (0.149051, -0.0900607, -0.98472)
TIME_SPECIAL: 123843405554983; POINT_POSITION: (608.606, 249.503, 0); TOOL_DIRECTION: (0.149138, -0.090469, -0.984669)
TIME_SPECIAL: 123843422254294; POINT_POSITION: (608.714, 249.368, 0); TOOL_DIRECTION: (0.149025, -0.0908717, -0.984649)
TIME_SPECIAL: 123843438955028; POINT_POSITION: (608.892, 249.197, 0); TOOL_DIRECTION: (0.149226, -0.0913581, -0.984574)
TIME_SPECIAL: 123843455588064; POINT_POSITION: (608.804, 248.986, 0); TOOL_DIRECTION: (0.149261, -0.0921055, -0.984499)
TIME_SPECIAL: 123843472251535; POINT_POSITION: (608.515, 248.712, 0); TOOL_DIRECTION: (0.148966, -0.0929875, -0.98446)
TIME_SPECIAL: 123843488983841; POINT_POSITION: (607.039, 247.563, 0); TOOL_DIRECTION: (0.147518, -0.0965331, -0.984337)
TIME_SPECIAL: 123843505616309; POINT_POSITION: (604.671, 246.12, 0); TOOL_DIRECTION: (0.145911, -0.10071, -0.984158)
TIME_SPECIAL: 123843522295709; POINT_POSITION: (602.111, 244.349, 0); TOOL_DIRECTION: (0.143986, -0.10543, -0.983948)
TIME_SPECIAL: 123843538971980; POINT_POSITION: (597.565, 241.573, 0); TOOL_DIRECTION: (0.140006, -0.112547, -0.983733)
TIME_SPECIAL: 123843555646545; POINT_POSITION: (591.744, 238.262, 0); TOOL_DIRECTION: (0.134584, -0.120755, -0.983517)
TIME_SPECIAL: 123843572309163; POINT_POSITION: (585.208, 234.479, 0); TOOL_DIRECTION: (0.128786, -0.129639, -0.983162)
TIME_SPECIAL: 123843588927977; POINT_POSITION: (580.066, 231.252, 0); TOOL_DIRECTION: (0.124305, -0.138367, -0.982549)
TIME_SPECIAL: 123843605646061; POINT_POSITION: (575.914, 228.87, 0); TOOL_DIRECTION: (0.120632, -0.145841, -0.981926)
TIME_SPECIAL: 123843622340253; POINT_POSITION: (570.977, 225.97, 0); TOOL_DIRECTION: (0.116182, -0.15311, -0.981356)
TIME_SPECIAL: 123843638958213; POINT_POSITION: (567.849, 222.111, 0); TOOL_DIRECTION: (0.113878, -0.164166, -0.979837)
TIME_SPECIAL: 123843655688529; POINT_POSITION: (565.438, 216.993, 0); TOOL_DIRECTION: (0.112871, -0.176731, -0.977766)
TIME_SPECIAL: 123843672365653; POINT_POSITION: (564.253, 214.44, 0); TOOL_DIRECTION: (0.112359, -0.182433, -0.976777)
TIME_SPECIAL: 123843689031969; POINT_POSITION: (561.455, 209.612, 0); TOOL_DIRECTION: (0.111006, -0.193962, -0.974708)
TIME_SPECIAL: 123843705731280; POINT_POSITION: (560.265, 205.744, 0); TOOL_DIRECTION: (0.111292, -0.204455, -0.972529)
TIME_SPECIAL: 123843722388210; POINT_POSITION: (559.913, 201.534, 0); TOOL_DIRECTION: (0.112737, -0.217044, -0.96963)
TIME_SPECIAL: 123843739001904; POINT_POSITION: (559.873, 197.96, 0); TOOL_DIRECTION: (0.114411, -0.227487, -0.967037)
