PRACTICE_WORD_COUNT: 7
TIME_EXPERIMENT_START: 154873377644387
TIME_WORD_START: 154873378223511; WORD_VALUE: tom
TIME_SPECIAL: 154875940529699; POINT_POSITION: (659.988, 171.91, 0); TOOL_DIRECTION: (0.182901, -0.162179, -0.969662)
TIME_SPECIAL: 154875957176104; POINT_POSITION: (657.212, 172.942, 0); TOOL_DIRECTION: (0.181584, -0.1582, -0.970567)
TIME_SPECIAL: 154875973862900; POINT_POSITION: (655.123, 174.199, 0); TOOL_DIRECTION: (0.180582, -0.15096, -0.971906)
TIME_SPECIAL: 154875990511864; POINT_POSITION: (654.871, 174.624, 0); TOOL_DIRECTION: (0.181183, -0.148233, -0.972214)
TIME_SPECIAL: 154876007194109; POINT_POSITION: (653.874, 174.953, 0); TOOL_DIRECTION: (0.180626, -0.145984, -0.972658)
TIME_SPECIAL: 154876023892851; POINT_POSITION: (651.948, 174.793, 0); TOOL_DIRECTION: (0.178604, -0.147526, -0.972798)
TIME_SPECIAL: 154876040589602; POINT_POSITION: (650.055, 174.858, 0); TOOL_DIRECTION: (0.177175, -0.146911, -0.973153)
TIME_SPECIAL: 154876057257341; POINT_POSITION: (648.3, 174.784, 0); TOOL_DIRECTION: (0.175327, -0.147691, -0.973369)
TIME_SPECIAL: 154876073890946; POINT_POSITION: (647.347, 174.633, 0); TOOL_DIRECTION: (0.17458, -0.148876, -0.973323)
TIME_SPECIAL: 154876090569492; POINT_POSITION: (646.721, 174.557, 0); TOOL_DIRECTION: (0.174094, -0.149383, -0.973332)
TIME_SPECIAL: 154876107207648; POINT_POSITION: (645.937, 175.996, 363.086); TOOL_DIRECTION: (0.17476, -0.135467, -0.975247)
TIME_PRESSED: 154876107245195; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER
TIME_WORD_END: 154876107281035; WORD_VALUE: tom
TIME_WORD_START: 154876107332519; WORD_VALUE: mans
TIME_SPECIAL: 154876123918622; POINT_POSITION: (645.277, 178.888, 365.81); TOOL_DIRECTION: (0.173826, -0.120786, -0.977341)
TIME_SPECIAL: 154876140543978; POINT_POSITION: (644.396, 181.471, 368.461); TOOL_DIRECTION: (0.173046, -0.111308, -0.978604)
TIME_SPECIAL: 154876157283680; POINT_POSITION: (643.253, 183.328, 371.166); TOOL_DIRECTION: (0.171855, -0.104184, -0.979598)
TIME_SPECIAL: 154876173925249; POINT_POSITION: (642.464, 184.817, 374.27); TOOL_DIRECTION: (0.172262, -0.0962353, -0.980339)
TIME_SPECIAL: 154876190629111; POINT_POSITION: (642.141, 185.738, 375.819); TOOL_DIRECTION: (0.172238, -0.0902058, -0.980916)
